"id","name","party","state","vote.1692","vote.1693","vote.1694","vote.1695","vote.1696","vote.1698","vote.1763","vote.1764","vote.1765","vote.1766","vote.1767","vote.1769","vote.1771","vote.1772","vote.1773","vote.1774","vote.1775","vote.1777","vote.1779","vote.1781"
440,"ABELARDO LUPION","PFL","PR",1,1,1,1,2,1,2,1,1,4,4,1,1,2,1,1,1,1,4,4
486,"ADAO PRETTO","PT","RS",4,4,4,4,1,2,1,4,4,4,4,4,4,4,4,4,4,4,4,1
127,"ADAUTO PEREIRA","PFL","PB",1,1,2,1,2,1,2,1,1,2,4,1,1,2,1,1,4,2,4,2
88,"ADOLFO MARINHO","PSDB","CE",1,1,2,1,2,1,2,1,1,2,2,4,1,2,1,1,4,2,4,2
221,"AECIO NEVES","PSDB","MG",4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
441,"AFFONSO CAMARGO","PSDB","PR",1,1,2,1,2,1,2,1,4,2,2,1,1,2,1,1,4,2,4,2
44,"AGNALDO MUNIZ","PPS","RO",2,2,4,2,4,2,2,3,2,1,2,1,2,2,4,4,4,1,4,4
407,"AGNELO QUEIROZ","PCdoB","DF",2,2,1,1,1,2,4,4,4,4,4,2,2,1,1,2,1,1,5,1
2,"AIRTON CASCAVEL","PPS","RR",1,1,2,1,1,1,4,4,4,4,4,1,1,2,1,1,1,2,4,4
488,"AIRTON DIPP","PDT","RS",2,2,1,2,1,2,1,2,2,1,5,4,4,4,1,2,1,2,4,1
442,"AIRTON ROVEDA","PTB","PR",1,1,2,1,2,1,2,2,1,2,2,1,1,4,2,2,1,4,4,1
68,"ALBERICO FILHO","PMDB","MA",1,1,2,1,2,1,2,1,1,4,4,1,1,4,1,1,4,1,4,4
545,"ALBERTO FRAGA","PMDB","DF",1,1,2,1,2,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
330,"ALBERTO GOLDMAN","PSDB","SP",1,1,1,4,2,1,2,1,1,2,2,4,1,2,1,1,1,2,4,2
1,"ALCESTE ALMEIDA","PL","RR",1,1,2,1,2,1,2,4,1,2,2,1,1,2,1,1,1,2,4,2
487,"ALCEU COLLARES","PDT","RS",2,2,1,2,1,2,5,2,2,4,5,1,2,1,1,2,4,2,4,1
529,"ALCIONE ATHAYDE","PSB","RJ",4,4,4,4,4,4,NA,NA,NA,NA,5,2,2,4,4,4,4,1,4,4
283,"ALDIR CABRAL","PFL","RJ",1,1,1,1,2,1,2,4,1,2,4,2,1,2,4,1,1,2,4,2
579,"ALDO ARANTES","PCdoB","GO",2,2,1,1,1,2,1,2,2,1,5,2,2,1,1,2,1,1,4,1
331,"ALDO REBELO","PCdoB","SP",2,2,1,1,1,2,4,2,2,1,4,4,2,4,1,2,1,1,4,1
445,"ALEX CANZIANI","PSDB","PR",1,1,1,1,2,1,2,1,1,2,2,1,1,4,1,1,4,2,1,4
284,"ALEXANDRE CARDOSO","PSB","RJ",4,4,1,1,1,2,1,2,4,4,5,2,5,1,1,2,1,1,4,1
285,"ALEXANDRE SANTOS","PSDB","RJ",1,1,1,1,2,1,2,4,4,4,4,4,4,4,4,4,4,4,4,4
89,"ALMEIDA DE JESUS","PL","CE",2,2,3,1,1,2,4,4,4,4,4,2,2,2,1,2,1,1,5,1
286,"ALMERINDA DE CARVALHO","PPB","RJ",NA,NA,NA,NA,NA,NA,2,1,1,2,2,1,1,2,1,1,1,2,4,2
6,"ALMIR SA","PPB","RR",1,1,2,1,2,1,4,4,4,4,4,4,4,4,4,4,4,4,4,2
332,"ALOIZIO MERCADANTE","PT","SP",1,1,4,4,4,4,1,2,2,1,5,1,2,2,1,2,4,1,4,1
333,"ALOYSIO NUNES FERREIRA","PSDB","SP",NA,NA,NA,NA,NA,NA,2,1,1,2,4,4,4,4,1,1,1,2,4,2
119,"ANA CATARINA","PMDB","RN",4,1,2,1,2,1,4,1,1,2,2,1,4,4,4,1,1,2,4,4
601,"ANA CORSO","PT","RS",1,1,4,1,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
339,"ANDRE BENASSI","PSDB","SP",1,1,2,1,2,1,2,1,1,2,2,1,1,2,1,1,1,2,4,2
142,"ANDRE DE PAULA","PFL","PE",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,2,4,2
340,"ANGELA GUADAGNIN","PT","SP",1,1,1,1,1,2,4,2,2,1,5,4,2,2,1,2,1,1,4,1
87,"ANIBAL GOMES","PMDB","CE",1,1,4,1,2,1,2,1,1,4,4,1,1,4,1,1,4,2,4,4
19,"ANIVALDO VALE","PSDB","PA",1,4,2,1,2,1,4,1,1,2,2,4,1,2,1,1,1,2,4,2
91,"ANTONIO CAMBRAIA","PSDB","CE",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,2,1,1,1,2,5,2
475,"ANTONIO CARLOS KONDER REIS","PFL","SC",1,1,1,1,2,1,2,1,1,2,2,1,1,2,1,1,1,2,5,2
552,"ANTONIO CARLOS MENDES THAME","PSDB","SP",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2
334,"ANTONIO CARLOS PANNUNZIO","PSDB","SP",1,1,2,1,4,1,4,4,4,4,4,1,1,2,1,1,1,2,1,2
222,"ANTONIO DO VALLE","PMDB","MG",1,1,4,1,2,1,2,2,2,2,2,1,1,2,2,1,1,2,5,2
9,"ANTONIO FEIJAO","PSDB","AP",1,1,2,4,2,1,2,1,1,2,2,4,1,2,1,1,1,2,4,4
536,"ANTONIO JOAQUIM ARAUJO","PPB","MA",1,1,2,1,2,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
60,"ANTONIO JORGE","PTB","TO",1,1,2,1,2,1,2,1,1,2,2,1,1,4,1,1,1,1,4,2
335,"ANTONIO KANDIR","PSDB","SP",1,1,2,1,2,1,2,1,1,4,4,1,1,4,1,1,1,4,4,4
223,"ARACELY DE PAULA","PFL","MG",1,1,4,4,2,1,2,1,1,2,2,4,1,2,1,1,1,2,4,4
92,"ARIOSTO HOLANDA","PSDB","CE",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,4,2,1,1,1,2,4,4
589,"ARISTON ANDRADE","PFL","BA",1,1,2,1,2,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
336,"ARLINDO CHINAGLIA","PT","SP",1,1,1,1,1,2,1,2,2,1,1,1,2,2,1,2,1,1,4,1
129,"ARMANDO ABILIO","PSDB","PB",1,1,2,1,2,1,2,1,1,2,2,1,1,2,1,1,1,2,4,4
144,"ARMANDO MONTEIRO","PMDB","PE",1,1,2,1,2,1,2,1,1,2,2,1,1,2,1,1,1,2,4,2
337,"ARNALDO FARIA DE SA","PTB","SP",2,2,1,1,1,1,1,2,2,1,2,2,2,1,2,2,1,1,2,1
343,"ARNALDO MADEIRA","PSDB","SP",1,1,2,1,2,1,2,1,1,2,2,1,1,2,1,1,1,2,4,2
90,"ARNON BEZERRA","PSDB","CE",1,4,2,1,2,4,2,1,1,4,4,4,1,2,1,1,1,2,4,2
288,"AROLDE DE OLIVEIRA","PFL","RJ",1,4,2,1,2,1,2,1,4,4,4,4,1,2,4,1,1,2,4,2
183,"AROLDO CEDRAZ","PFL","BA",NA,NA,NA,NA,NA,NA,2,1,1,2,4,4,1,2,4,1,1,1,4,2
37,"ARTHUR VIRGILIO","PSDB","AM",NA,NA,NA,NA,NA,NA,2,1,1,4,4,1,1,4,1,1,1,3,4,4
592,"ARY JOSE VANAZZI","PT","RS",NA,NA,NA,NA,NA,NA,1,2,2,1,5,1,2,4,1,2,1,1,5,1
338,"ARY KARA","PTB","SP",1,1,2,1,2,1,4,4,4,4,4,1,1,2,2,2,1,2,4,4
595,"ASDRUBAL BENTES","PMDB","PA",1,1,2,1,2,1,2,1,1,2,2,1,1,4,1,1,1,1,4,2
38,"ATILA LINS","PFL","AM",1,1,2,1,2,1,2,1,1,4,4,1,1,2,1,1,1,2,4,4
109,"ATILA LIRA","PSDB","PI",1,1,2,1,2,1,2,1,4,2,2,1,1,2,1,1,1,2,4,2
165,"AUGUSTO FARIAS","PPB","AL",2,2,2,1,2,2,4,2,2,2,2,1,1,2,1,1,1,2,4,1
173,"AUGUSTO FRANCO","PSDB","SE",4,4,2,3,1,1,4,4,4,4,2,1,1,2,1,1,1,2,4,4
489,"AUGUSTO NARDES","PPB","RS",1,1,1,1,2,1,4,1,1,2,4,1,1,4,1,1,1,4,4,3
128,"AVENZOAR ARRUDA","PT","PB",1,1,1,1,1,2,1,2,2,4,4,1,2,2,1,2,1,1,4,1
287,"AYRTON XEREZ","PFL","RJ",NA,NA,NA,NA,NA,NA,2,1,1,2,2,2,1,2,4,4,4,1,4,2
111,"B  SA","PSDB","PI",1,1,2,1,2,1,2,1,1,2,2,1,1,2,1,1,1,2,4,4
21,"BABA","PT","PA",4,4,4,2,4,2,4,2,2,1,5,4,4,4,1,2,1,1,4,1
10,"BADU PICANCO","PL","AP",1,1,2,4,4,1,2,1,1,4,4,1,1,2,1,1,4,2,4,2
416,"BARBOSA NETO","PMDB","GO",1,4,2,1,2,1,4,1,4,2,2,4,1,4,4,1,1,4,4,4
443,"BASILIO VILLANI","PSDB","PR",1,1,2,1,2,1,4,4,4,4,4,1,1,2,1,1,4,4,4,2
432,"BEN HUR FERREIRA","PT","MS",NA,NA,NA,NA,NA,NA,1,2,2,1,4,4,2,2,1,2,1,1,4,1
184,"BENITO GAMA","PMDB","BA",1,1,2,1,2,1,2,1,4,2,2,1,1,2,1,1,1,2,4,2
490,"BETO ALBUQUERQUE","PSB","RS",NA,NA,NA,NA,NA,NA,1,2,2,4,5,2,2,1,4,4,4,4,5,1
289,"BISPO RODRIGUES","PL","RJ",2,2,1,1,1,1,1,2,4,2,2,2,2,2,1,1,1,1,4,1
347,"BISPO WANDERVAL","PL","SP",2,2,1,1,1,1,1,2,2,2,2,2,2,2,1,1,1,1,4,1
528,"BONIFACIO DE ANDRADA","PSDB","MG",1,1,2,3,4,1,2,1,1,4,4,4,4,2,4,4,4,4,4,4
224,"CABO JULIO","PST","MG",1,1,2,1,2,1,2,1,1,2,2,4,1,4,1,1,1,4,4,4
597,"CANDINHO MATTOS","PSDB","RJ",1,1,2,1,2,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
476,"CARLITO MERSS","PT","SC",4,4,1,1,1,2,1,2,2,1,4,1,4,2,1,2,1,1,5,1
120,"CARLOS ALBERTO ROSADO","PFL","RN",1,1,4,4,2,1,4,1,1,1,2,1,4,2,1,1,1,2,4,2
148,"CARLOS BATATA","PSDB","PE",1,1,2,1,4,4,4,1,1,4,2,4,1,2,1,1,4,4,4,2
130,"CARLOS DUNGA","PTB","PB",1,1,2,1,2,1,2,1,1,2,2,1,1,2,2,1,1,2,4,1
152,"CARLOS EDUARDO CADOCA","PMDB","PE",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,2,4,4
226,"CARLOS MELLES","PFL","MG",NA,NA,NA,NA,NA,NA,2,1,1,2,4,1,1,2,1,1,1,2,4,2
227,"CARLOS MOSCONI","PSDB","MG",1,1,2,1,2,1,2,1,1,2,2,1,1,2,1,1,4,2,4,2
621,"CARLOS NADER","PFL","RJ",1,1,2,1,2,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
290,"CARLOS SANTANA","PT","RJ",1,1,1,1,1,2,1,2,2,2,4,4,2,2,4,4,4,1,2,1
400,"CELCITA PINHEIRO","PFL","MT",1,1,1,1,2,1,2,1,1,2,2,1,1,2,2,1,1,1,4,2
344,"CELSO RUSSOMANNO","PPB","SP",1,1,2,4,2,1,2,2,4,2,2,4,1,4,2,1,1,2,4,1
70,"CESAR BANDEIRA","PFL","MA",1,1,2,1,2,1,2,1,4,4,4,1,1,2,1,1,1,2,3,4
494,"CEZAR SCHIRMER","PMDB","RS",4,4,1,1,1,3,2,3,2,4,4,4,1,4,1,1,1,2,4,4
446,"CHICO DA PRINCESA","PSDB","PR",1,1,2,1,2,1,2,1,1,2,4,1,1,2,1,1,4,2,4,2
573,"CHICO SARDELLI","PFL","SP",4,4,1,1,2,1,2,1,1,2,4,4,1,2,1,1,1,2,4,4
93,"CHIQUINHO FEITOSA","PSDB","CE",4,4,2,1,4,4,4,4,4,4,4,4,1,4,1,1,1,4,4,2
112,"CIRO NOGUEIRA","PFL","PI",1,1,2,4,2,1,2,1,1,4,4,1,1,4,1,1,1,2,4,4
186,"CLAUDIO CAJADO","PFL","BA",1,1,4,4,2,1,2,1,1,2,2,1,1,2,1,1,4,1,5,2
153,"CLEMENTINO COELHO","PPS","PE",1,1,1,1,4,4,2,1,1,2,2,4,4,2,1,1,1,1,4,1
176,"CLEONANCIO FONSECA","PPB","SE",4,4,2,4,2,4,2,1,1,4,4,4,1,2,1,1,1,2,4,4
225,"CLEUBER CARNEIRO","PFL","MG",1,1,2,1,2,1,2,1,4,4,2,1,1,2,1,1,4,2,4,2
606,"CLOVIS ILGENFRITZ","PT","RS",4,4,4,4,4,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
45,"CONFUCIO MOURA","PMDB","RO",1,1,2,1,2,4,4,1,1,4,4,4,1,2,1,1,4,4,4,2
345,"CORAUCI SOBRINHO","PFL","SP",1,1,1,1,1,1,1,2,2,2,2,1,1,2,1,1,1,1,2,1
187,"CORIOLANO SALES","PMDB","BA",1,1,1,4,4,4,2,1,1,2,2,1,1,2,1,1,1,2,4,2
291,"CORNELIO RIBEIRO","PL","RJ",4,4,4,4,4,4,5,4,4,4,4,2,2,2,1,1,1,1,4,1
71,"COSTA FERREIRA","PFL","MA",4,4,2,1,2,1,2,2,1,4,2,1,1,2,1,1,1,2,4,1
346,"CUNHA BUENO","PPB","SP",4,4,1,1,1,1,4,2,2,2,2,3,2,2,2,1,1,2,4,1
228,"CUSTODIO MATTOS","PSDB","MG",1,1,2,1,2,1,2,1,1,2,2,4,1,2,1,1,1,2,4,2
133,"DAMIAO FELICIANO","PMDB","PB",1,1,2,1,2,1,2,1,1,4,4,4,1,2,1,1,1,4,4,4
229,"DANILO DE CASTRO","PSDB","MG",1,1,2,1,2,1,2,1,1,2,2,1,1,2,1,1,1,2,4,2
61,"DARCI COELHO","PFL","TO",NA,NA,NA,NA,NA,NA,2,1,1,2,2,1,1,4,1,1,1,2,4,2
491,"DARCISIO PERONDI","PMDB","RS",1,1,2,1,2,1,2,1,1,4,2,1,1,4,1,1,4,4,4,2
382,"DE VELASCO","PSL","SP",2,2,1,1,1,1,1,2,2,2,2,2,4,2,1,1,1,1,4,1
348,"DELFIM NETTO","PPB","SP",1,1,2,1,2,1,2,1,1,4,4,4,1,2,1,1,1,2,4,2
18,"DEUSDETH PANTOJA","PFL","PA",1,1,2,1,2,1,2,1,1,4,4,1,1,4,4,4,4,2,4,2
444,"DILCEU SPERAFICO","PPB","PR",1,1,2,1,2,1,2,1,1,4,4,1,4,4,1,1,1,2,4,2
293,"DINO FERNANDES","PPB","RJ",1,1,2,1,2,1,4,4,4,2,2,1,1,2,1,1,1,2,4,2
598,"DIVALDO SURUAGY","PST","AL",4,4,2,1,2,1,3,3,4,2,2,4,1,2,1,1,1,2,4,2
155,"DJALMA PAES","PSB","PE",2,2,1,1,1,2,1,2,2,4,4,2,2,2,1,2,1,1,4,1
624,"DOLORES NUNES","PMDB","TO",1,1,1,1,2,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
134,"DOMICIANO CABRAL","PSDB","PB",1,1,2,1,2,1,2,4,1,4,4,4,1,2,4,4,4,4,4,2
620,"DR  ANTONIO CRUZ","PMDB","MS",2,2,2,1,2,1,1,2,2,1,1,1,2,2,1,2,1,2,4,2
12,"DR  BENEDITO DIAS","PPB","AP",1,1,1,1,2,4,2,1,1,2,2,1,1,2,1,1,4,2,4,2
356,"DR  EVILASIO","PSB","SP",NA,NA,NA,NA,NA,NA,1,2,2,1,5,2,2,2,1,2,1,1,5,1
625,"DR  GOMES","PFL","AM",1,4,1,1,2,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
294,"DR  HELENO","PSDB","RJ",1,1,2,1,2,1,2,1,1,2,2,4,1,4,1,1,4,2,4,2
358,"DR  HELIO","PDT","SP",2,1,1,2,1,2,1,2,2,1,5,1,2,1,1,2,1,2,5,1
449,"DR  ROSINHA","PT","PR",1,1,1,1,1,2,4,4,4,4,4,4,2,2,1,2,1,4,4,1
349,"DUILIO PISANESCHI","PTB","SP",1,1,2,1,2,1,2,1,1,4,4,1,4,4,2,1,1,2,4,2
301,"EBER SILVA","PST","RJ",4,4,2,1,2,1,1,2,2,2,4,4,4,4,4,4,4,4,4,4
470,"EDINHO BEZ","PMDB","SC",1,1,1,1,2,1,2,1,1,4,2,1,1,4,1,1,1,2,4,2
578,"EDIR OLIVEIRA","PTB","RS",1,1,1,1,2,1,2,1,1,2,2,4,1,2,2,2,1,4,4,1
471,"EDISON ANDRINO","PMDB","SC",1,1,1,1,4,2,2,1,1,2,4,1,2,1,1,2,1,1,4,4
231,"EDMAR MOREIRA","PPB","MG",1,1,4,1,2,1,2,1,1,4,4,1,1,4,1,1,1,4,4,2
623,"EDMUNDO GALDINO","PSDB","TO",1,1,1,1,2,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
230,"EDUARDO BARBOSA","PSDB","MG",1,1,2,1,2,1,4,4,4,4,4,1,1,2,1,1,1,2,4,2
140,"EDUARDO CAMPOS","PSB","PE",2,2,1,1,1,2,1,2,2,5,5,2,2,5,1,2,1,1,4,4
307,"EDUARDO PAES","PFL","RJ",NA,NA,NA,NA,NA,NA,2,1,4,4,4,4,1,2,1,1,4,1,4,2
14,"EDUARDO SEABRA","PTB","AP",1,1,2,1,2,1,2,1,1,2,2,1,1,2,2,2,1,2,4,1
131,"EFRAIM MORAIS","PFL","PB",1,4,2,4,2,1,1,1,1,2,2,1,1,4,1,1,1,2,4,2
22,"ELCIONE BARBALHO","PMDB","PA",1,1,4,1,2,1,1,2,1,2,2,1,1,2,1,1,1,1,4,2
612,"ELIAS MURAD","PSDB","MG",1,1,2,1,2,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
73,"ELISEU MOURA","PPB","MA",1,1,2,1,1,1,4,4,4,4,4,4,1,4,1,1,1,2,4,4
232,"ELISEU RESENDE","PFL","MG",1,1,2,4,2,1,2,1,1,2,2,4,1,4,1,1,4,2,4,2
353,"EMERSON KAPAZ","PPS","SP",1,1,1,1,1,1,2,2,2,2,4,1,2,1,1,1,1,1,4,1
477,"ENI VOLTOLINI","PPB","SC",1,4,1,4,4,4,2,1,4,2,2,1,1,2,1,1,1,2,5,4
493,"ENIO BACCI","PDT","RS",2,4,1,2,1,2,4,4,4,4,4,4,4,4,4,4,4,4,4,4
132,"ENIVALDO RIBEIRO","PPB","PB",1,4,2,4,2,1,2,1,4,2,2,1,1,2,1,1,1,2,4,2
189,"ERALDO TINOCO","PFL","BA",NA,NA,NA,NA,NA,NA,2,1,1,1,2,1,4,2,1,1,1,1,4,1
532,"ESTHER GROSSI","PT","RS",1,1,1,1,1,2,4,2,2,1,5,1,2,2,4,4,4,1,4,1
190,"EUJACIO SIMOES","PL","BA",1,1,1,1,4,1,2,1,1,2,4,4,1,2,4,1,1,4,4,1
415,"EULER MORAIS","PMDB","GO",2,2,1,1,1,2,2,5,5,2,2,1,1,2,1,2,1,2,4,2
563,"EULER RIBEIRO","PFL","AM",1,1,1,1,2,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
95,"EUNICIO OLIVEIRA","PMDB","CE",4,1,2,1,2,2,4,1,1,2,2,4,1,2,4,1,1,2,4,2
295,"EURICO MIRANDA","PPB","RJ",4,4,2,2,2,1,2,1,1,2,4,1,1,2,1,1,1,4,4,2
47,"EURIPEDES MIRANDA","PDT","RO",2,2,1,2,1,2,2,2,2,4,4,1,2,1,4,4,4,3,4,1
15,"EVANDRO MILHOMEN","PSB","AP",2,2,1,1,1,2,1,2,2,4,4,4,2,5,1,2,1,4,4,1
48,"EXPEDITO JUNIOR","PSDB","RO",4,4,2,1,2,1,2,1,4,2,2,1,1,2,4,4,4,2,4,2
590,"EZIDIO PINHEIRO","PSB","RS",2,2,1,1,4,2,3,2,2,1,4,2,4,4,1,2,1,1,4,1
11,"FATIMA PELAES","PSDB","AP",1,4,4,4,4,4,4,4,4,2,2,4,1,2,1,1,1,2,4,4
191,"FELIX MENDONCA","PTB","BA",1,1,2,1,2,1,2,1,1,1,2,1,1,2,2,1,4,4,4,1
478,"FERNANDO CORUJA","PDT","SC",2,1,1,2,1,2,1,2,2,1,5,1,2,1,1,2,1,2,5,1
233,"FERNANDO DINIZ","PMDB","MG",1,1,1,1,2,1,2,1,1,2,4,1,1,2,1,1,4,2,4,2
141,"FERNANDO FERRO","PT","PE",1,1,1,1,1,2,1,2,2,5,5,1,2,2,1,2,1,1,4,4
296,"FERNANDO GABEIRA","PT","RJ",1,1,1,1,1,2,4,4,2,4,4,1,2,4,1,2,1,4,4,1
297,"FERNANDO GONCALVES","PTB","RJ",1,1,2,1,2,1,2,1,1,2,2,4,1,2,2,2,1,2,4,1
354,"FERNANDO ZUPPO","PSDC","SP",2,2,1,1,1,1,2,2,2,2,1,1,2,1,1,1,1,2,4,1
496,"FETTER JUNIOR","PPB","RS",1,1,2,1,1,1,4,1,1,2,2,1,1,2,1,1,1,2,4,1
274,"FEU ROSA","PSDB","ES",1,1,4,4,4,4,2,1,1,2,2,4,1,2,1,1,1,4,5,2
514,"FIORAVANTE","PT","RS",1,1,1,1,1,1,1,4,4,4,4,1,2,2,1,1,1,1,4,1
447,"FLAVIO ARNS","PT","PR",1,1,1,1,1,2,1,2,2,1,5,4,2,2,1,2,1,1,4,1
74,"FRANCISCO COELHO","PFL","MA",4,4,4,1,2,1,2,1,4,4,4,4,4,4,1,1,4,4,4,4
299,"FRANCISCO DORNELLES","PPB","RJ",NA,NA,NA,NA,NA,NA,4,4,4,4,4,4,4,4,1,1,1,2,4,4
36,"FRANCISCO GARCIA","PFL","AM",1,1,2,1,2,1,2,1,1,4,4,4,1,2,4,1,1,2,4,4
3,"FRANCISCO RODRIGUES","PFL","RR",4,4,4,4,4,4,2,4,1,2,2,4,1,2,1,1,4,2,4,4
300,"FRANCISCO SILVA","PST","RJ",NA,NA,NA,NA,NA,NA,3,1,1,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
181,"FRANCISTONIO PINTO","PFL","BA",1,1,2,1,2,1,2,1,1,2,2,1,1,2,1,1,1,2,4,2
63,"FREIRE JUNIOR","PMDB","TO",1,1,1,1,4,4,2,1,1,2,4,4,1,2,4,1,1,4,4,4
75,"GASTAO VIEIRA","PMDB","MA",2,2,1,1,2,1,2,2,1,4,2,1,1,2,1,1,1,2,4,2
193,"GEDDEL VIEIRA LIMA","PMDB","BA",4,1,2,1,2,1,2,4,1,4,4,4,4,2,1,1,4,4,4,4
628,"GENESIO BERNARDINO","PMDB","MG",NA,NA,NA,NA,NA,NA,2,1,1,2,2,4,1,4,1,1,1,2,4,2
417,"GEOVAN FREITAS","PMDB","GO",2,2,1,1,1,2,2,4,4,1,5,1,2,4,2,2,1,4,4,4
408,"GERALDO MAGELA","PT","DF",4,4,1,1,1,2,1,2,2,4,5,1,4,4,1,2,1,1,4,1
497,"GERMANO RIGOTTO","PMDB","RS",4,2,1,1,1,1,2,3,2,2,4,1,1,2,1,1,1,4,4,4
185,"GERSON GABRIELLI","PFL","BA",4,4,4,4,2,1,2,4,1,4,4,4,1,2,4,4,4,4,4,4
